date_,Geography,Variable,Value
2018-08-01,National,Government,21511000
2018-08-01,National,Service-Providing,128098000
2018-08-01,National,Total Private,127725000
2018-07-01,National,Goods Producing,21075000
2018-07-01,National,Government,21178000
2018-07-01,National,Service-Providing,127692000
2018-07-01,National,Total Private,127589000
2018-06-01,National,Goods Producing,21007000
2018-06-01,National,Government,22365000
2018-06-01,National,Service-Providing,128923000
2018-06-01,National,Total Private,127565000
2018-05-01,National,Goods Producing,20694000
2018-05-01,National,Government,22753000
2018-05-01,National,Service-Providing,128570000
2018-05-01,National,Total Private,126511000
2018-04-01,National,Goods Producing,20421000
2018-04-01,National,Government,22804000
2018-04-01,National,Service-Providing,127908000
2018-04-01,National,Total Private,125525000
2018-03-01,National,Goods Producing,20195000
2018-03-01,National,Government,22767000
2018-03-01,National,Service-Providing,127157000
2018-03-01,National,Total Private,124585000
2018-02-01,National,Goods Producing,20057000
2018-02-01,National,Government,22697000
2018-02-01,National,Service-Providing,126592000
2018-02-01,National,Total Private,123952000
2018-01-01,National,Goods Producing,19884000
2018-01-01,National,Government,22225000
2018-01-01,National,Service-Providing,125528000
2018-01-01,National,Total Private,123187000
2017-12-01,National,Goods Producing,20246000
2017-12-01,National,Government,22741000
2017-12-01,National,Service-Providing,128263000
2017-12-01,National,Total Private,125768000
2017-11-01,National,Goods Producing,20354000
2017-11-01,National,Government,22872000
2017-11-01,National,Service-Providing,128404000
2017-11-01,National,Total Private,125886000
2017-10-01,National,Goods Producing,20403000
2017-10-01,National,Government,22739000
2017-10-01,National,Service-Providing,127779000
2017-10-01,National,Total Private,125443000
2017-09-01,National,Goods Producing,20398000
2017-09-01,National,Government,22318000
2017-09-01,National,Service-Providing,126771000
2017-09-01,National,Total Private,124851000
2017-08-01,National,Goods Producing,20490000
2017-08-01,National,Government,21311000
2017-08-01,National,Service-Providing,126292000
2017-08-01,National,Total Private,125471000
2017-07-01,National,Goods Producing,20393000
2017-07-01,National,Government,21077000
2017-07-01,National,Service-Providing,126071000
2017-07-01,National,Total Private,125387000
2017-06-01,National,Goods Producing,20357000
2017-06-01,National,Government,22261000
2017-06-01,National,Service-Providing,127209000
2017-06-01,National,Total Private,125305000
2017-05-01,National,Goods Producing,20056000
2017-05-01,National,Government,22665000
2017-05-01,National,Service-Providing,126868000
2017-05-01,National,Total Private,124259000
2017-04-01,National,Goods Producing,19827000
2017-04-01,National,Government,22721000
2017-04-01,National,Service-Providing,126259000
2017-04-01,National,Total Private,123365000
2017-03-01,National,Goods Producing,19624000
2017-03-01,National,Government,22693000
2017-03-01,National,Service-Providing,125438000
2017-03-01,National,Total Private,122369000
2017-02-01,National,Goods Producing,19487000
2017-02-01,National,Government,22625000
2017-02-01,National,Service-Providing,124918000
2017-02-01,National,Total Private,121780000
