date,MSA,Variable,Value
2000-08-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,104200.0
2000-08-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,825500.0
2000-08-01,"Cincinnati, OH-KY-IN Metro Area",Government,116700.0
2000-08-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,898200.0
2000-08-01,"Cleveland-Elyria, OH Metro Area",Government,136200.0
2000-08-01,"Cleveland-Elyria, OH Metro Area",Total Private,1003600.0
2000-08-01,"Columbus, OH Metro Area",Government,144600.0
2000-08-01,"Columbus, OH Metro Area",Total Private,789300.0
2000-08-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,197200.0
2000-08-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1993500.0
2000-08-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,108700.0
2000-08-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,790800.0
2000-08-01,"Kansas City, MO-KS Metro Area",Government,120700.0
2000-08-01,"Kansas City, MO-KS Metro Area",Total Private,846900.0
2000-08-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,272800.0
2000-08-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1863100.0
2000-08-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,91000.0
2000-08-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,812800.0
2000-08-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,181600.0
2000-08-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1382500.0
2000-08-01,"Pittsburgh, PA Metro Area",Government,115400.0
2000-08-01,"Pittsburgh, PA Metro Area",Total Private,1026900.0000000001
2000-08-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,121500.0
2000-08-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,862400.0
2000-08-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,181400.0
2000-08-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,806000.0
2000-08-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,207600.0
